Date,Open,High,Low,Close,Volumne
7/16/2010 1:06:00 PM,588.14,588.28,579.16,579.54,2753400
7/16/2010 1:04:00 PM,574.26,586.21,574.2,581.14,4233300
7/16/2010 1:02:00 PM,563.76,578.5,562.21,576.45,5654900
7/16/2010 1:00:00 PM,559.85,564.66,556.5,560.19,3176600
7/16/2010 12:58:00 PM,564.78,565.18,561.01,562.48,2386400
7/16/2010 12:56:00 PM,561.35,567.67,559.9,564.21,3912200
7/16/2010 12:54:00 PM,546.5,556.13,546.2,554.59,3183800
7/16/2010 12:52:00 PM,542.36,548.12,539.25,545.32,3089400
7/16/2010 12:50:00 PM,535.48,545.66,535.01,541.06,4356800
7/16/2010 12:48:00 PM,529.2,533.29,527.74,532.69,2237900
7/16/2010 12:46:00 PM,527.42,531.75,523.48,526.8,2049300
7/16/2010 12:44:00 PM,527.12,528.49,520,526.43,3309200
7/16/2010 12:42:00 PM,533.98,538.44,530.51,531.47,2326600
7/16/2010 12:40:00 PM,543,543.63,532.29,535.07,2872600
7/16/2010 12:38:00 PM,547.35,547.5,541,542.8,2144600
7/16/2010 12:36:00 PM,540.53,544.03,539.7,540.76,2553100
7/16/2010 12:34:00 PM,537.54,545.01,536.14,543.22,2336900
7/16/2010 12:32:00 PM,542,543.4,537.61,538.21,2029700
7/16/2010 12:30:00 PM,536.87,544.13,534.3,541.3,3654400
7/16/2010 12:28:00 PM,532.97,537.15,530.5,533.12,2279700
7/16/2010 12:26:00 PM,533.32,540.49,529.5,536.4,2410000
7/16/2010 12:24:00 PM,534.07,537.79,527.69,534.45,2674500
7/16/2010 12:22:00 PM,539.54,541.53,535.07,536.44,2819600
7/16/2010 12:20:00 PM,532.5,542,531.53,533.47,2694300
7/16/2010 12:18:00 PM,528.4,533.5,522.46,531.29,3156000
7/16/2010 12:16:00 PM,537,538,525.56,526.78,3377700
7/16/2010 12:14:00 PM,528.67,542.1,528.23,540.82,2999100
7/16/2010 12:12:00 PM,534.96,534.96,527.61,531.12,4096200
7/16/2010 12:10:00 PM,534.6,535.81,530.3,533.02,2250800
