Date,Open,High,Low,Close,Volume,Adj Close
9/16/2010,479.95,482.45,479.41,481.06,1969500,481.06
9/15/2010,479.95,481.89,478.5,480.64,2402800,480.64
9/14/2010,482.01,484.75,480.08,480.43,2216500,480.43
9/13/2010,480.9,484.35,479.53,482.27,2241500,482.27
9/10/2010,479.02,479.79,475.08,476.14,1974300,476.14
9/9/2010,477.83,480.4,470.58,476.18,2430600,476.18
9/8/2010,465.19,472.5,464.51,470.58,2401800,470.58
9/7/2010,464.5,467.59,463.02,464.4,1709900,464.4
9/3/2010,470.52,471.88,467.44,470.3,2540400,470.3
9/2/2010,462.84,464.43,460.31,463.18,1684200,463.18
9/1/2010,454.98,464.94,452.5,460.33,3228300,460.33
8/31/2010,450.11,454.87,448,450.02,1946800,450.02
8/30/2010,459.15,459.76,452.42,452.69,1231400,452.69
8/27/2010,452.56,459.99,447.65,458.83,2312400,458.83
8/26/2010,456.06,457.26,450.44,450.98,1777000,450.98
8/25/2010,450,457.81,450,454.62,2592100,454.62
8/24/2010,457.7,458.37,450.92,451.39,2762700,451.39
8/23/2010,461.5,468.25,457.73,464.07,2986200,464.07
8/20/2010,467.97,471.59,461.02,462.02,3917600,462.02
8/19/2010,481.01,482.51,467.25,467.97,3925000,467.97
8/18/2010,490.44,490.87,481.55,482.15,2686400,482.15
8/17/2010,488.53,494.7,486.03,490.52,1890700,490.52
8/16/2010,483.68,489.87,480.5,485.59,1305000,485.59
8/13/2010,489,491.19,486.01,486.35,1934700,486.35
8/12/2010,483.94,494.75,482.51,492.01,2204600,492.01
8/11/2010,497.73,498,491.5,491.74,2223000,491.74
8/10/2010,502.35,506,498.57,503.71,2074000,503.71
8/9/2010,502.25,505.5,501.36,505.35,1872200,505.35
8/6/2010,505.4,505.74,496.05,500.22,3319500,500.22
8/5/2010,505.89,508.6,503.56,508.1,2420400,508.1
8/4/2010,492.18,507,491.05,506.32,3812500,506.32
8/3/2010,490.5,492.46,486.76,489.83,1802300,489.83
8/2/2010,488.99,493.28,486.94,490.41,1858700,490.41
7/30/2010,479.65,487.36,479.14,484.85,2144100,484.85
7/29/2010,485.95,488.88,479.33,484.99,2675500,484.99
7/28/2010,494.94,495.25,482.67,484.35,2496000,484.35
7/27/2010,490.58,497.5,490.17,492.63,2451200,492.63
7/26/2010,489.09,490.75,484.88,488.97,1995200,488.97
7/23/2010,480.77,490.59,480.01,490.06,2264400,490.06
7/22/2010,483.23,488.98,482.48,484.81,2147700,484.81
7/21/2010,484,485.7,475.43,477.5,3279600,477.5
7/20/2010,461.03,482.99,460.6,481.59,4054500,481.59
7/19/2010,461.01,469.65,457.52,466.18,4550300,466.18
